preco;tamanho (m²);qtd_quartos;qtd_banheiros;qtd_vagas_garagem;bairro;endereco;bairro_tratada;bairro_mais_barato;bairro_norm;endereco_norm;latitude;longitude;CEP_opencage;dist_praca_da_liberdade_km;dist_lagoa_da_pampulha_km;dist_parque_americo_renne_km;dist_parque_das_mangabeiras_km;dist_circuito_da_liberdade_km;dist_mercado_central_km;dist_igreja_sao_jose_km
490000.0;72.0;3;2.0;2;Concórdia;Rua Itaquera;Concórdia;0;concordia;rua itaquera;-19.9007223;-43.9371913;31140-003;4.091746281321574;6.102415440097031;2.2597012132697456;6.464354019624812;4.091746281321574;2.107442402021317;2.2597012132697456
434000.0;91.0;3;2.0;1;Colégio Batista;Rua Pitangui;Colégio Batista;0;colegio batista;rua pitangui;-19.9053865;-43.9340462;31110-050;3.5559290714854495;6.710497565218518;1.7081116665652631;5.8547164148493085;3.5559290714854495;1.5533054674092253;1.7081116665652631
490000.0;98.0;3;3.0;1;Cidade Nova;Avenida Cristiano Machado;Cidade Nova;0;cidade nova;avenida cristiano machado;-19.8908875;-43.9285665;31170-020;5.183900201738689;6.004621236232989;3.3482944509961596;6.911938965439624;5.183900201738689;3.1950999826668185;3.3482944509961596
260000.0;53.0;2;1.0;1;Salgado Filho;Rua Machado Nunes;Salgado Filho;0;salgado filho;rua machado nunes;-19.9430634;-43.9817904;30550-000;5.113515191306897;9.41542356980904;5.643212983377675;8.635358075406753;5.113515191306897;5.712622945359166;5.643212983377675
630000.0;70.0;2;1.0;2;Sion;Rua Patagônia;Sion;0;sion;rua patagonia;-19.9591387;-43.9349669;30320-380;2.401829789325375;11.902279601358345;4.247815633252531;3.9619391290208834;2.401829789325375;4.402674045295257;4.247815633252531
1060000.0;160.0;3;3.0;3;Santo Agostinho;Rua Araguari;Santo Agostinho;0;santo agostinho;rua araguari;-19.9304115;-43.9513723;30170-008;2.048281176403873;8.339207805121127;2.170758845109175;5.7388792198189105;2.048281176403873;2.2507911541597414;2.170758845109175
290000.0;69.0;2;1.0;1;Salgado Filho;Rua Machado Nunes;Salgado Filho;0;salgado filho;rua machado nunes;-19.9430634;-43.9817904;30550-000;5.113515191306897;9.41542356980904;5.643212983377675;8.635358075406753;5.113515191306897;5.712622945359166;5.643212983377675
420000.0;90.0;3;2.0;1;Nova Gameleira;Rua Dom Oscar Romero;Outros;0;nova gameleira;rua dom oscar romero;-19.937491;-43.9877726;30510-090;5.702645557432939;8.877813562508893;5.994811453670461;9.309759120908822;5.702645557432939;6.04440375498901;5.994811453670461
390000.0;58.0;3;2.0;1;Santa Cruz;Rua José Cleto;Santa Cruz;0;santa cruz;rua jose cleto;-19.8765417;-43.931516;31160-440;6.750859525096343;4.924524820416776;4.903087792799819;8.483786393154256;6.750859525096343;4.748219419113114;4.903087792799819
1441313.0;100.0;3;2.0;2;Sion;Rua Assunção;Sion;0;sion;rua assuncao;-19.9546848;-43.9362089;30315-250;1.9266362269285071;11.394846727928067;3.763507147687629;3.9483407652398137;1.9266362269285071;3.9180037271717167;3.763507147687629
470000.0;110.0;3;2.0;2;Serrano;Rua Mário Pinheiro de Souza;Serrano;0;serrano;rua mario pinheiro de souza;-19.8782999;-44.0155066;32113-060;10.818603851880953;4.841195884602746;9.809984716304372;14.333982496501665;10.818603851880953;9.736637051118992;9.809984716304372
990000.0;80.0;3;3.0;2;Liberdade;Rua Custódio de Melo;Liberdade;0;liberdade;rua custodio de melo;-19.8626525;-43.9515537;31270-300;8.503451668265054;2.440926958039254;6.714914354462323;10.80765653145618;8.503451668265054;6.566492559885537;6.714914354462323
700000.0;90.0;3;3.0;2;Palmares;Rua Professor Tabajara Pedroso;Palmares;0;palmares;rua professor tabajara pedroso;-19.8715741;-43.9341828;31155-290;7.298786821037587;4.461156175405681;5.4502386047787255;9.09945049037832;7.298786821037587;5.295276949713459;5.4502386047787255
580000.0;71.0;3;2.0;2;Paquetá;Rua Gustavo Ladeira;Paquetá;0;paqueta;rua gustavo ladeira;-19.8798567;-43.9917617;31330-572;8.84262703264042;3.0002034060908254;7.617023919144886;12.190420412241822;8.84262703264042;7.525852303538385;7.617023919144886
430000.0;95.0;3;3.0;2;Dona Clara;Rua Doutor João Miranda;Dona Clara;0;dona clara;rua doutor joao miranda;-19.8612876;-43.9362088;31810-270;8.442440366020163;4.013773891433089;6.595235135229714;10.231296208135715;8.442440366020163;6.440419956268754;6.595235135229714
