preco;tamanho (m²);qtd_quartos;qtd_banheiros;qtd_vagas_garagem;bairro;endereco
930000.0;100.0;2;3.0;3;Pampulha;Rua dos Aeroviários
440000.0;70.0;3;3.0;1;Ouro Preto;Rua Flor-de-esparódia
635000.0;64.0;2;2.0;1;Buritis;Rua Eli Seabra Filho
884337.0;72.0;3;2.0;2;Buritis;Rua Professora Bartira Mourão
530000.0;80.0;3;2.0;1;Sagrada Família;Rua Conselheiro Lafaiete
1990000.0;92.0;3;3.0;2;Lourdes;Rua Espírito Santo
1080000.0;88.0;3;2.0;2;Buritis;Avenida José de Oliveira Vaz
590000.0;65.0;2;1.0;1;Cidade Nova;Rua Elyseu Dias Coelho
480000.0;82.0;3;2.0;2;Heliópolis;Rua Nair Pentagna Guimarães
680000.0;100.0;4;2.0;3;Castelo;Rua Romualdo Lopes Cançado
560000.0;165.0;4;2.0;2;Cruzeiro;Rua Muzambinho
450000.0;55.0;2;1.0;1;Palmeiras;Rua Senhora do Porto
749000.0;64.0;2;2.0;2;Santo Antônio;Rua Carlos Gomes
1250000.0;112.0;4;3.0;3;Buritis;Rua Engenheiro Alberto Pontes
550000.0;61.0;2;1.0;1;Silveira;Avenida Cristiano Machado
541000.0;65.0;3;2.0;2;Palmeiras;Rua Senhora do Porto
500000.0;103.0;4;3.0;1;Palmares;Rua Jorge Angel Livraga
1150000.0;200.0;4;1.0;3;Gutierrez;Rua Porto Carrero
880000.0;89.0;3;2.0;2;Padre Eustáquio;Rua Dona Noemi
1261498.0;73.0;3;3.0;2;Santa Efigênia;Rua Padre Marinho
920000.0;85.0;3;2.0;2;Buritis;Avenida Aggeo Pio Sobrinho
310000.0;80.0;2;1.0;1;Copacabana;Rua Olavo Bilac
400000.0;67.0;3;2.0;1;Santa Amélia;Praça Manoel Antônio de Carvalho
533950.0;50.0;2;2.0;2;Padre Eustáquio;Rua Curupaiti
1199000.0;123.0;4;2.0;3;Buritis;Rua Vitório Magnavacca
341990.0;47.0;2;1.0;1;Havaí;Rua Zilda Gama
330000.0;51.0;2;1.0;2;São João Batista;Rua Antônio Orlindo de Castro
550000.0;53.0;2;2.0;2;Buritis;Rua Sílvio Menicucci
1980000.0;170.0;4;5.0;3;Vila Paris;Rua Padre Francisco Arantes
1249000.0;84.0;3;2.0;2;Cruzeiro;Rua Pium-I
320000.0;113.0;3;2.0;0;Centro;Rua dos Guaranis
880000.0;100.0;3;3.0;2;São Pedro;Rua Viçosa
680000.0;100.0;3;2.0;2;Estoril;Rua Eugênio Vidigal Amaro
780000.0;96.0;3;1.0;2;Ouro Preto;Rua Nízio Torres
430000.0;60.0;2;2.0;1;Jardim Atlântico;Rua Carlos Sá
605078.0;59.0;3;2.0;2;Estoril;Rua Paulo Piedade Campos
463792.0;39.0;1;1.0;1;Estoril;Rua Paulo Piedade Campos
957990.0;73.0;3;2.0;2;Coração de Jesus;Rua Professor Otto Cirne
620000.0;90.0;3;2.0;2;Copacabana;Rua Viena
1794695.0;152.0;4;5.0;3;Castelo;Rua Castelo de Abrantes
890000.0;134.0;3;2.0;3;Itapoã;Rua José Oscar Barreira
320000.0;51.0;2;1.0;1;Castelo;Rua Conceição Aparecida Augsten
1330000.0;116.0;3;4.0;2;Castelo;Rua Castelo de Edimburgo
500000.0;71.0;2;1.0;1;Sagrada Família;Rua Alegrete
450000.0;72.0;3;2.0;2;Salgado Filho;Rua Águas Formosas
700000.0;195.0;3;3.0;0;Centro;Rua Rio de Janeiro
1269470.0;71.0;3;3.0;2;Sion;Rua Assunção
495000.0;68.0;2;2.0;1;Nova Vista;Rua José Silva Passos
520000.0;56.0;2;2.0;1;Buritis;Rua Ignácio Alves Martins
350000.0;83.0;3;1.0;0;Centro;Praça Rui Barbosa
610000.0;78.0;3;2.0;2;Dona Clara;Rua Desembargador Fernando Bhering
1290000.0;140.0;4;4.0;3;Buritis;Rua Professora Bartira Mourão
1100000.0;188.0;3;3.0;3;Castelo;Rua Castelo Setúbal
430000.0;63.0;2;2.0;1;Buritis;Rua Ulisses Marcondes Escobar
610000.0;85.0;3;2.0;1;Grajaú;Rua Paula Cândido
320000.0;85.0;2;1.0;1;Renascença;Rua Uraricoera
840000.0;160.0;2;2.0;3;Santo Antônio;Rua Professor Aníbal Mattos
1962000.0;142.0;4;1.0;4;Ouro Preto;Rua José Moura Peçanha
390000.0;75.0;3;1.0;1;Estoril;Rua Paulo Piedade Campos
580000.0;106.0;2;2.0;1;Santa Mônica;Rua Janete Clair
1150000.0;78.0;3;3.0;1;Barro Preto;Rua Tenente Brito Melo
