preco;tamanho (m²);qtd_quartos;qtd_banheiros;qtd_vagas_garagem;bairro;endereco;bairro_tratada;bairro_mais_barato;bairro_norm;endereco_norm;latitude;longitude;CEP_opencage
450000.0;120.0;3;2.0;2;Santo André;Rua Gurutuba;Outros;0;santo andre;rua gurutuba;-19.9041452;-43.9564083;31230-350
429000.0;55.0;2;1.0;1;Colégio Batista;Rua Itabira;Colégio Batista;0;colegio batista;rua itabira;-19.9054832;-43.9421879;31210-790
580000.0;67.0;2;2.0;2;Dona Clara;Rua Bento Mendes Castanheira;Dona Clara;0;dona clara;rua bento mendes castanheira;-19.8603897;-43.9392591;31260-140
746990.0;73.0;3;2.0;2;Estoril;Avenida Barão Homem de Melo;Estoril;0;estoril;avenida barao homem de melo;-19.9646166;-43.9566391;30494-310
770000.0;110.0;3;2.0;2;Castelo;Rua Castelo de Avis;Castelo;0;castelo;rua castelo de avis;-19.8788641;-43.9946342;31330-120
700000.0;70.0;3;2.0;0;Sion;Rua Colômbia;Sion;0;sion;rua colombia;-19.9542763;-43.9385749;30315-250
777990.0;73.0;3;2.0;2;Estoril;Avenida Barão Homem de Melo;Estoril;0;estoril;avenida barao homem de melo;-19.9646166;-43.9566391;30494-310
1285761.0;71.0;3;3.0;2;Sion;Rua Assunção;Sion;0;sion;rua assuncao;-19.9546848;-43.9362089;30315-250
446197.0;49.0;2;2.0;1;Estoril;Rua Paulo Piedade Campos;Estoril;0;estoril;rua paulo piedade campos;-19.965417;-43.9647127;30493-030
772990.0;73.0;3;2.0;2;Estoril;Avenida Barão Homem de Melo;Estoril;0;estoril;avenida barao homem de melo;-19.9646166;-43.9566391;30494-310
850000.0;89.0;2;3.0;3;Buritis;Rua Rubens Caporali Ribeiro;Buritis;0;buritis;rua rubens caporali ribeiro;-19.9813042;-43.9764901;30575-855
560000.0;97.0;3;2.0;1;Carmo;Rua Passa Tempo;Carmo;0;carmo;rua passa tempo;-19.9450811;-43.9338093;30310-370
472000.0;49.0;2;2.0;1;Estoril;Rua Paulo Piedade Campos;Estoril;0;estoril;rua paulo piedade campos;-19.965417;-43.9647127;30493-030
680000.0;70.0;3;1.0;2;Paquetá;Rua Gustavo Ladeira;Paquetá;0;paqueta;rua gustavo ladeira;-19.8798567;-43.9917617;31330-572
490000.0;115.0;3;2.0;1;Jardim América;Rua Lindolfo de Azevedo;Jardim América;0;jardim america;rua lindolfo de azevedo;-19.9434681;-43.9740084;30421-351
627760.0;75.0;3;2.0;2;Sagrada Família;Rua João Carlos;Sagrada Família;0;sagrada familia;rua joao carlos;-19.9030168;-43.9207034;31030-370
440000.0;90.0;3;3.0;1;Caiçara-Adelaide;Rua Aspásia;Caiçara-Adelaide;0;caicara-adelaide;rua aspasia;-19.9044704;-43.9780815;30720-530
390000.0;85.0;3;2.0;1;Planalto;Rua Barão de Jacuí;Planalto;0;planalto;rua barao de jacui;-19.8329647;-43.9434523;31742-036
670000.0;120.0;3;3.0;2;Copacabana;Rua Viena;Copacabana;0;copacabana;rua viena;-19.8364574;-43.9896077;31550-000
300000.0;58.0;2;1.0;1;Piratininga;Rua Altinópolis;Piratininga;0;piratininga;rua altinopolis;-19.8079321;-43.9905529;31680-120
420000.0;108.0;3;1.0;1;Santa Mônica;Rua Olavo Bilac;Santa Mônica;0;santa monica;rua olavo bilac;-19.8206322;-43.9725148;31520-400
450000.0;60.0;2;1.0;1;Planalto;Rua Francisco Augusto Rocha;Planalto;0;planalto;rua francisco augusto rocha;-19.8251622;-43.9544154;31744-144
1100000.0;85.0;2;3.0;2;Lourdes;Rua Curitiba;Lourdes;0;lourdes;rua curitiba;-19.9270602;-43.9435923;30170-011
380000.0;83.0;2;2.0;1;Rio Branco;Rua Dalva de Matos;Rio Branco;0;rio branco;rua dalva de matos;-19.8153559;-43.9878663;31573-506
590000.0;72.0;2;2.0;2;Castelo;Rua Elisa Felippeto Ricaldoni;Castelo;0;castelo;rua elisa felippeto ricaldoni;-19.8908864;-43.9983596;30840-300
